Country Name,Indicator Name,Year,Value
Afghanistan,GNI per capita (constant 2005 US$),2005,257.6325524
Albania,GNI per capita (constant 2005 US$),1996,"1,680.58"
Albania,GNI per capita (constant 2005 US$),1997,"1,506.89"
Albania,GNI per capita (constant 2005 US$),1998,"1,664.78"
Albania,GNI per capita (constant 2005 US$),1999,"1,890.75"
Albania,GNI per capita (constant 2005 US$),2000,"2,044.35"
Albania,GNI per capita (constant 2005 US$),2001,"2,232.08"
Albania,GNI per capita (constant 2005 US$),2002,"2,318.05"
Albania,GNI per capita (constant 2005 US$),2003,"2,467.79"
Albania,GNI per capita (constant 2005 US$),2004,"2,610.27"
Albania,GNI per capita (constant 2005 US$),2005,"2,763.32"
Albania,GNI per capita (constant 2005 US$),2006,"2,957.75"
Albania,GNI per capita (constant 2005 US$),2007,"3,152.02"
Albania,GNI per capita (constant 2005 US$),2008,"3,339.40"
Albania,GNI per capita (constant 2005 US$),2009,"3,403.58"
Albania,GNI per capita (constant 2005 US$),2010,"3,569.18"
Albania,GNI per capita (constant 2005 US$),2011,"3,696.33"
Albania,GNI per capita (constant 2005 US$),2012,"3,737.80"
Albania,GNI per capita (constant 2005 US$),2013,"3,817.79"
Albania,GNI per capita (constant 2005 US$),2014,"3,853.04"
Algeria,GNI per capita (constant 2005 US$),1960,"1,920.44"
Algeria,GNI per capita (constant 2005 US$),1961,"1,606.37"
Algeria,GNI per capita (constant 2005 US$),1962,"1,258.04"
Algeria,GNI per capita (constant 2005 US$),1963,"1,566.55"
Algeria,GNI per capita (constant 2005 US$),1964,"1,594.41"
Algeria,GNI per capita (constant 2005 US$),1965,"1,622.41"
Algeria,GNI per capita (constant 2005 US$),1966,"1,492.19"
Algeria,GNI per capita (constant 2005 US$),1967,"1,601.53"
Algeria,GNI per capita (constant 2005 US$),1968,"1,733.03"
Algeria,GNI per capita (constant 2005 US$),1969,"1,842.54"
Algeria,GNI per capita (constant 2005 US$),1970,"1,921.39"
Algeria,GNI per capita (constant 2005 US$),1971,"1,672.52"
Algeria,GNI per capita (constant 2005 US$),1972,"2,080.24"
Algeria,GNI per capita (constant 2005 US$),1973,"2,093.42"
Algeria,GNI per capita (constant 2005 US$),1974,"2,191.38"
Algeria,GNI per capita (constant 2005 US$),1975,"2,227.96"
Algeria,GNI per capita (constant 2005 US$),1976,"2,334.32"
Algeria,GNI per capita (constant 2005 US$),1977,"2,387.98"
Algeria,GNI per capita (constant 2005 US$),1978,"2,524.00"
Algeria,GNI per capita (constant 2005 US$),1979,"2,604.60"
Algeria,GNI per capita (constant 2005 US$),1980,"2,548.62"
Algeria,GNI per capita (constant 2005 US$),1981,"2,541.95"
Algeria,GNI per capita (constant 2005 US$),1982,"2,623.86"
Algeria,GNI per capita (constant 2005 US$),1983,"2,691.14"
Algeria,GNI per capita (constant 2005 US$),1984,"2,752.38"
