Country Name,Indicator Name,Year,Value
Afghanistan,Sanitation Access (% of Pop.),1991,20.5
Afghanistan,Sanitation Access (% of Pop.),1992,20.5
Afghanistan,Sanitation Access (% of Pop.),1993,20.5
Afghanistan,Sanitation Access (% of Pop.),1994,20.6
Afghanistan,Sanitation Access (% of Pop.),1995,20.6
Afghanistan,Sanitation Access (% of Pop.),1996,21.1
Afghanistan,Sanitation Access (% of Pop.),1997,21.7
Afghanistan,Sanitation Access (% of Pop.),1998,22.2
Afghanistan,Sanitation Access (% of Pop.),1999,22.8
Afghanistan,Sanitation Access (% of Pop.),2000,23.4
Afghanistan,Sanitation Access (% of Pop.),2001,23.9
Afghanistan,Sanitation Access (% of Pop.),2002,24.5
Afghanistan,Sanitation Access (% of Pop.),2003,25.1
Afghanistan,Sanitation Access (% of Pop.),2004,25.7
Afghanistan,Sanitation Access (% of Pop.),2005,26.3
Afghanistan,Sanitation Access (% of Pop.),2006,26.9
Afghanistan,Sanitation Access (% of Pop.),2007,27.4
Afghanistan,Sanitation Access (% of Pop.),2008,28
Afghanistan,Sanitation Access (% of Pop.),2009,28.7
Afghanistan,Sanitation Access (% of Pop.),2010,29.3
Afghanistan,Sanitation Access (% of Pop.),2011,29.9
Afghanistan,Sanitation Access (% of Pop.),2012,30.5
Afghanistan,Sanitation Access (% of Pop.),2013,31.1
Afghanistan,Sanitation Access (% of Pop.),2014,31.8
Afghanistan,Sanitation Access (% of Pop.),2015,31.9
Albania,Sanitation Access (% of Pop.),1990,78.1
Albania,Sanitation Access (% of Pop.),1991,78.2
Albania,Sanitation Access (% of Pop.),1992,78.3
Albania,Sanitation Access (% of Pop.),1993,78.4
Albania,Sanitation Access (% of Pop.),1994,78.6
Albania,Sanitation Access (% of Pop.),1995,79.4
Albania,Sanitation Access (% of Pop.),1996,80.2
Albania,Sanitation Access (% of Pop.),1997,81
Albania,Sanitation Access (% of Pop.),1998,81.8
Albania,Sanitation Access (% of Pop.),1999,82.6
Albania,Sanitation Access (% of Pop.),2000,83.4
Albania,Sanitation Access (% of Pop.),2001,84.2
Albania,Sanitation Access (% of Pop.),2002,85
Albania,Sanitation Access (% of Pop.),2003,85.8
Albania,Sanitation Access (% of Pop.),2004,86.6
Albania,Sanitation Access (% of Pop.),2005,87.4
Albania,Sanitation Access (% of Pop.),2006,88.1
Albania,Sanitation Access (% of Pop.),2007,88.9
Albania,Sanitation Access (% of Pop.),2008,89.6
Albania,Sanitation Access (% of Pop.),2009,90.2
Albania,Sanitation Access (% of Pop.),2010,90.9
Albania,Sanitation Access (% of Pop.),2011,91.5
Albania,Sanitation Access (% of Pop.),2012,92.1
Albania,Sanitation Access (% of Pop.),2013,92.7
Albania,Sanitation Access (% of Pop.),2014,93.2
Albania,Sanitation Access (% of Pop.),2015,93.2
Algeria,Sanitation Access (% of Pop.),1990,80.3
Algeria,Sanitation Access (% of Pop.),1991,80.5
Algeria,Sanitation Access (% of Pop.),1992,80.7
Algeria,Sanitation Access (% of Pop.),1993,80.9
Algeria,Sanitation Access (% of Pop.),1994,81.3
Algeria,Sanitation Access (% of Pop.),1995,81.7
Algeria,Sanitation Access (% of Pop.),1996,82.1
Algeria,Sanitation Access (% of Pop.),1997,82.5
Algeria,Sanitation Access (% of Pop.),1998,82.9
Algeria,Sanitation Access (% of Pop.),1999,83.3
Algeria,Sanitation Access (% of Pop.),2000,83.6
Algeria,Sanitation Access (% of Pop.),2001,84
Algeria,Sanitation Access (% of Pop.),2002,84.3
Algeria,Sanitation Access (% of Pop.),2003,84.7
Algeria,Sanitation Access (% of Pop.),2004,85
Algeria,Sanitation Access (% of Pop.),2005,85.3
