Country Name,Indicator Name,1980,2014,Population
Zimbabwe,Rural population (% of total population),77.629,67.499,"15,245,855"
Zambia,Rural population (% of total population),60.185,59.528,"15,721,343"
"Yemen, Rep.",Rural population (% of total population),83.466,65.973,"26,183,676"
Virgin Islands (U.S.),Rural population (% of total population),19.853,4.797,"104,170"
Vietnam,Rural population (% of total population),80.753,67.049,"90,728,900"
"Venezuela, RB",Rural population (% of total population),20.815,11.059,"30,693,827"
Vanuatu,Rural population (% of total population),85.26,74.183,"258,883"
Uzbekistan,Rural population (% of total population),59.218,63.722,"30,757,700"
Uruguay,Rural population (% of total population),14.606,4.848,"3,419,516"
United States,Rural population (% of total population),26.262,18.553,"318,907,401"
United Kingdom,Rural population (% of total population),21.519,17.655,"64,613,160"
United Arab Emirates,Rural population (% of total population),19.29,14.734,"9,086,139"
Ukraine,Rural population (% of total population),38.307,30.518,"45,271,947"
Uganda,Rural population (% of total population),92.466,84.234,"37,782,971"
Tuvalu,Rural population (% of total population),70.178,41.218,"9,893"
Turks and Caicos Islands,Rural population (% of total population),44.741,8.153,"33,740"
Turkmenistan,Rural population (% of total population),52.922,50.312,"5,307,188"
Turkey,Rural population (% of total population),56.22,27.109,"77,523,788"
Tunisia,Rural population (% of total population),49.431,33.355,"11,130,154"
Trinidad and Tobago,Rural population (% of total population),89.137,91.45,"1,354,483"
Tonga,Rural population (% of total population),78.846,76.368,"105,586"
Togo,Rural population (% of total population),75.337,60.531,"7,115,163"
Timor-Leste,Rural population (% of total population),83.517,67.869,"1,157,360"
Thailand,Rural population (% of total population),73.209,50.826,"67,725,979"
Tanzania,Rural population (% of total population),85.445,69.099,"51,822,621"
Tajikistan,Rural population (% of total population),65.711,73.308,"8,295,840"
Syrian Arab Republic,Rural population (% of total population),53.292,42.745,"18,772,481"
Switzerland,Rural population (% of total population),42.916,26.156,"8,188,649"
Sweden,Rural population (% of total population),16.913,14.335,"9,696,110"
Swaziland,Rural population (% of total population),82.154,78.685,"1,269,112"
Suriname,Rural population (% of total population),35.04,33.915,"538,248"
Sudan,Rural population (% of total population),80.041,66.377,"39,350,274"
St. Vincent and the Grenadines,Rural population (% of total population),64.13,49.8,"109,360"
St. Lucia,Rural population (% of total population),73.46,81.523,"183,645"
St. Kitts and Nevis,Rural population (% of total population),64.118,68.04,"54,944"
Sri Lanka,Rural population (% of total population),81.221,81.68,"20,771,000"
Spain,Rural population (% of total population),27.211,20.645,"46,480,882"
